00032 , 001 , 6 , +28261.76 , +56917.14 , +2133.60 , -1.85 , 123.47
00033 , 001 , 1 , +28143.06 , +56883.19 , +2133.60 , -1.85 , 123.47
00033 , 001 , 6 , +28143.06 , +56883.19 , +2133.60 , -1.85 , 123.47
00034 , 001 , 1 , +28024.35 , +56849.24 , +2133.60 , -1.85 , 123.47
00034 , 001 , 6 , +28024.35 , +56849.24 , +2133.60 , -1.85 , 123.47
00035 , 001 , 1 , +27905.64 , +56815.29 , +2133.60 , -1.85 , 123.47
00035 , 001 , 6 , +27905.64 , +56815.29 , +2133.60 , -1.85 , 123.47
00036 , 001 , 1 , +27786.94 , +56781.34 , +2133.60 , -1.85 , 123.47
00036 , 001 , 6 , +27786.94 , +56781.34 , +2133.60 , -1.85 , 123.47
00037 , 001 , 1 , +27668.23 , +56747.39 , +2133.60 , -1.85 , 123.47
00037 , 001 , 6 , +27668.23 , +56747.39 , +2133.60 , -1.85 , 123.47
00038 , 001 , 1 , +27549.52 , +56713.44 , +2133.60 , -1.85 , 123.47
00038 , 001 , 6 , +27549.52 , +56713.44 , +2133.60 , -1.85 , 123.47
00039 , 001 , 1 , +27430.81 , +56679.49 , +2133.60 , -1.85 , 123.47
00039 , 001 , 6 , +27430.81 , +56679.49 , +2133.60 , -1.85 , 123.47
00040 , 001 , 1 , +27312.11 , +56645.54 , +2133.60 , -1.85 , 123.47
00040 , 001 , 6 , +27312.11 , +56645.54 , +2133.60 , -1.85 , 123.47
00041 , 001 , 1 , +27193.40 , +56611.59 , +2133.60 , -1.85 , 123.47
00041 , 001 , 6 , +27193.40 , +56611.59 , +2133.60 , -1.85 , 123.47
00042 , 001 , 1 , +27074.69 , +56577.64 , +2133.60 , -1.85 , 123.47
00042 , 001 , 6 , +27074.69 , +56577.64 , +2133.60 , -1.85 , 123.47
00043 , 001 , 1 , +26955.99 , +56543.69 , +2133.60 , -1.85 , 123.47
00043 , 001 , 6 , +26955.99 , +56543.69 , +2133.60 , -1.85 , 123.47
00044 , 001 , 1 , +26837.28 , +56509.74 , +2133.60 , -1.85 , 123.47
00044 , 001 , 6 , +26837.28 , +56509.74 , +2133.60 , -1.85 , 123.47
00045 , 001 , 1 , +26718.57 , +56475.79 , +2133.60 , -1.85 , 123.47
00045 , 001 , 6 , +26718.57 , +56475.79 , +2133.60 , -1.85 , 123.47
00046 , 001 , 1 , +26599.86 , +56441.84 , +2133.60 , -1.85 , 123.47
00046 , 001 , 6 , +26599.86 , +56441.84 , +2133.60 , -1.85 , 123.47
00047 , 001 , 1 , +26481.16 , +56407.89 , +2133.60 , -1.85 , 123.47
